Mã chức vụ, Chức vụ,
TPKD, Trưởng Phòng Kinh Doanh,
NVKD, Nhân Viên Kinh Doanh,
NVS-ADMIN, Nhân viên Sale admin,
CVHC-TH,Chuyên viên Hành chính tổng hợp,
CVTD, Chuyên viên Tuyển dụng,
TKKD, Thư ký kinh doanh,
DGKD, Giám đốc Kinh doanh,
NVLT, Nhân viên Lễ tân Hành chính,
CVHC-TD, Chuyên viên Hành chính - Tuyển dụng,
NVHCNS, Nhân viên Hành chính nhân sự,
GDPTDT, Giám đốc Phát triển Đối tác,
TPHCNS, Trưởng phòng Hành chính Nhân sự,
NVLX, Nhân viên Lái xe,
TNTD, Trưởng nhóm tuyển dụng,
CVKTNB, Chuyên viên Kế toán nội bộ ,
NVCT, Nhân viên Content,
NVTK, Nhân viên Thiết Kế,
NVDGI, Nhân viên Digital,
PGDKD, Phó Giám Đốc Kinh Doanh,
TTS, Thực tập sinh,
TGD, Tổng Giám Đốc,
PTGD-TL, Phó Tổng Giám đốc phụ trách chiến lược kinh doanh kiêm trợ lý Tổng Giám đốc,
CVTC, Chuyên viên Tài chính,
TNKSNB, Trưởng nhóm Kiểm soát nội bộ,
CVKSNB, Chuyên viên Kiểm soát nội bộ,
CVDTU, Chuyên viên đầu tư,
TPDTXT, Trưởng phòng Đầu tư Xúc tiến Dự án,
CVDTXT, Chuyên viên khai thác - xúc tiến dự án bất động sản,
PPDTXT, Phó phòng Đầu tư xúc tiến dự án,
CVCB, Chuyên viên C&B,
CVPC, Chuyên viên pháp chế,
CVTTNB, Chuyên viên Truyền Thông Nội bộ,
NVIT, Nhân Viên IT ,
CVQHLD, Chuyên viên Quan hệ lao động ,
TV, Tạp vụ ,
CVKTTH, Chuyên viên Kế hoạch Tổng hợp,
CVDT, Chuyên viên Đào Tạo,
TPTD-DT, Trưởng phòng Tuyển dụng - Đào tạo,
PPTD-DT, Phó Phòng Tuyển dụng - Đào tạo,
KTT, Kế Toán Trưởng,
CVKT, Chuyên viên Kế Toán,
CVKTT, Chuyên viên Kế Toán Thuế,
CVKTTT, Chuyên viên Kế Toán Thanh Toán,
CVKTTC, Chuyên viên Kế Toán Tài Chính,
NVMH, Nhân viên Mua hàng,
CVKTCN, Chuyên viên kế toán công nợ,
TPDT, Trưởng phòng đầu tư,
CVPTDA, Chuyên viên Phát triển Dự án,
TPMKT, Trưởng phòng Marketing,
CVTKDH, Chuyên viên Thiết kế đồ họa & Media,
CVTK, Chuyên viên Thiết kế ,
NVVED, Nhân viên Video Editor,
NVMED, Nhân viên Media,
CVTCSK, Chuyên Viên Tổ chức Sự Kiện,
CVMKT, Chuyên viên Marketing,
NTQC, Nghiệm thu quảng cáo và Content marketing,
TTSMED, Thực tập sinh media,
PPMKT, Phó phòng Marketing,
LDMKT, Lead team Digital MKT,
CVBK, Chuyên viên biên kịch,
TPTKKD, Trưởng phòng Thư ký kinh doanh,
GDSLK, Giám đốc Sàn Liên Kết,
TPSLK, Trưởng phòng sàn LK & CTV,
CVQLDL, Chuyên viên quản lý đại lý,
CVPTDL, Chuyên viên Phát triển Đại lý,
TPPTDT, Trưởng phòng phát triển đối tác,
TLGD, Trợ lý Giám đốc,
